PK_NOMBRE_CENTRO;FK_COMUNA
COSAM Pedro Aguirre Cerda;Pedro Aguirre Cerda
COSAM San Bernardo;San Bernardo
COSAM San Joaquin;San Joaquin
Centro de Salud Familiar Hector Garcia;Buin
Centro de Salud Familiar El Manzano;San Bernardo
Centro de Imagenologia Mamaria Metropolitano;San Miguel
Centro de Salud Familiar Pueblo Lo Espejo;Lo Espejo
Posta de Salud Rural Linderos;Buin
Posta de Salud Rural Alto Jahuel;Buin
Posta de Salud Rural Valdivia de Paine;Buin
Posta de Salud Rural Viluco;Buin
Posta de Salud Rural El Recurso;Buin
Posta de Salud Rural Los Morros;Buin
Posta de Salud Rural Pintue;Paine
Posta de Salud Rural Huelquen;Paine
Posta de Salud Rural Rangue;Paine
Posta de Salud Rural Abrantes;Paine
Posta de Salud Rural Chada;Paine
Posta de Salud Rural Santa Ines;Calera de Tango
COSAM Lo Espejo;Lo Espejo
Centro Comunitario de Salud Familiar Yalta;San Joaquin
Centro Comunitario de Salud Familia Sierra Bella;San Joaquin
Centro Comunitario de Salud Familiar Cooperacion;Pedro Aguirre Cerda
Centro Comunitario de Salud Familiar Cerrillos de Nos;San Bernardo
Centro Comunitario de Salud Familiar Rapa Nui;San Bernardo
Centro Comunitario de Salud Familiar Santa Laura;El Bosque
Centro Comunitario de Salud Familiar Juan Aravena;San Joaquin
Centro Comunitario de Salud Familiar Lo Herrera;San Bernardo
Centro Comunitario de Salud Familiar Reverendo Javier Pero;San Joaquin
Centro Comunitario de Salud Familiar Dr. Hector Garcia;Buin
SAPU Recreo;San Miguel
SAR Dr. Amador Neghme R.;Pedro Aguirre Cerda
SAPU La Feria;Pedro Aguirre Cerda
SAPU Padre Esteban Gumucio;La Granja
SAPU Clara Estrella;Lo Espejo
SAPU Julio Acuna Pinzon;Lo Espejo
SAPU Dental Valledor Tres;Lo Espejo
SAPU Dr. Carlos Lorca;El Bosque
SAPU Raul Cuevas (Ex San Bernardo);San Bernardo
SAPU Condores de Chile;El Bosque
SAPU Confraternidad;San Bernardo
SAPU Paine;Paine
SAPU Dra. Mariela Salgado;Lo Espejo
SAPU Santa Teresa de Los Andes;San Joaquin
SAR Haydee Lopez;El Bosque
SAPU Eduardo Frei Montalva;La Cisterna
SAPU Padre Joan Alsina;San Bernardo
SAPU Carol Urzua de San Bernardo;San Bernardo
SAPU Raul Branes F.;San Bernardo
SAPU Edgardo Enriquez Froedden;Pedro Aguirre Cerda
SAPU Juan Pablo II;San Bernardo
Clinica Alemana;Vitacura
Clinica Tabancura;Vitacura
Clinica Costanera;Providencia
Nueva Clinica Cordillera;Las Condes
Clinica Psiquiatrica Bretana;Providencia
Clinica del Carmen;Macul
Clinica Indisa;Providencia
Clinica Las Condes;Las Condes
Clinica Macul;Macul
Clinica Recuperacion Alcohol Alfa;Nunoa
Clinica Miguel Claro;Providencia
Clinica Servet;Providencia
Clinica Oftalmologica los Andes;Vitacura
Centro Medico y Dental Megasalud Providencia;Providencia
Clinica Nunoa;Nunoa
Clinica Psiquiatrica Pocuro;Vitacura
Clinica San Andres;Providencia
Pensionado San Jose;Las Condes
Clinica Sara Moncada;Providencia
Hospital FACH;Las Condes
Hospital Carabineros;Nunoa
Clinica Oriente;Nunoa
Clinica Lo Curro;Vitacura
Centro CONIN Credes;Providencia
Hospital del Trabajador Santiago;Providencia
Clinica Santa Rafaela;Providencia
Clinica Europa;Providencia
Hospital Dipreca Teniente Hernan Merino;Las Condes
Clinica Santa Maria;Providencia
Clinica Psiquiatrica Renacer;Nunoa
Clinica Oncologica Arturo Lopez Perez;Providencia
Clinica Psicoterapia los Tiempos;La Reina
Clinica Colonial;Providencia
Instituto Medico el Arrayan;Lo Barnechea
Clinica San Carlos de Apoquindo;Las Condes
Clinica Instituto El Cedro;La Reina
Centro Medico y Dental Megasalud Arauco;Las Condes
Centro Medico y Dental Megasalud Padre Hurtado;Las Condes
Departamento de Bienestar Social de la Direccion General de Aeronautica Civil;Providencia
Central Odontologica de la Fuerzas Armadas y de Orden;Las Condes
Instituto de Enfermedades Circulatorias;Providencia
Clinica Tregua;Nunoa
Centro Medico Militar Rosa O'Higgins;Las Condes
Centro Medico Pediatrico Integral Mediclown;Providencia
Procedimientos Clinicos Alto Tabancura;Vitacura
Centro Medico Alto Tobalaba (Vacunatorio Vacci Protex);Penalolen
Clinica de Medicina y Estetica MYE;Providencia
Centro Medico Vida Integra Tobalaba;Providencia
Clinica Monteblanco;Lo Barnechea
Consultorio Escuela de Carabineros de Chile;Providencia
Centro de Salud Familiar Huamachuco;Renca
Centro de Salud Familiar Juan Pablo II de Padre Hurtado;Padre Hurtado
Centro de Salud Familiar Dr. Fernando Monckeberg;Penaflor
Centro de Salud Familiar El Monte;El Monte
Centro de Salud Familiar Isla de Maipo;Isla de Maipo
Centro de Salud Familiar Dr. Edelberto Elgueta;Melipilla
Centro de Salud Familiar Dr. Francisco Boris Soler;Melipilla
Centro de Salud Familiar San Manuel;Melipilla
Centro de Salud Familiar Alfarera Rosa Reyes Vilches;Melipilla
Centro de Salud Familiar Adriana Madrid De Costabal;Maria Pinto
Centro de Salud Familiar San Pedro;San Pedro
Centro de Salud Familiar Dr. Alberto Allende Jones;Talagante
Centro de Salud Familiar Villa Alhue;Alhue
Posta de Salud Rural Aliro Carcarmo (Lonquen);Talagante
Centro Comunitario de Salud Familiar Irene Frei Montalva;Pudahuel
Centro de Salud Familiar La Islita;Isla de Maipo
Posta de Salud Rural San Antonio de Naltagua;Isla de Maipo
Posta de Salud Rural Gacitua;Isla de Maipo
Posta de Salud Rural Las Mercedes ( Isla de Maipo );Isla de Maipo
Posta de Salud Rural Bollenar;Melipilla
Posta de Salud Rural Pahuilmo;Melipilla
Posta de Salud Rural Pomaire;Melipilla
Posta de salud Rural Pabellon;Melipilla
Posta de Salud Rural Santa Emilia;Maria Pinto
Posta de Salud Rural Las Mercedes ( Maria Pinto );Maria Pinto
Posta de Salud Rural Chorombo;Maria Pinto
Centro Comunitario de Salud Familiar Maria Salas;Curacavi
Posta de Salud Rural San Pedro;San Pedro
Posta de Salud Rural Loica;San Pedro
Posta de Salud Rural La Manga;San Pedro
Posta de Salud Rural Nihue;San Pedro
Posta de Salud Rural El Prado;San Pedro
Posta de Salud Rural Villa Alhue;Alhue
Posta de Salud Rural Hacienda Alhue;Alhue
Posta de Salud Rural Pichi;Alhue
Posta de Salud Rural El Asiento;Alhue
Posta de Salud Rural Santa Maria;Alhue
Consultorio Coaniquem;Pudahuel
COSAM Cerro Navia;Cerro Navia
COSAM Quinta Normal;Quinta Normal
COSAM Lo Prado;Lo Prado
COSAM Pudahuel;Pudahuel
COSAM Talagante;Talagante
COSAM Penaflor;Penaflor
COSAM Melipilla;Melipilla
COSAM Renca;Renca
Centro Comunitario de Salud Mental;Pudahuel
Centro Comunitario de Salud Familiar Catamarca;Quinta Normal
Centro Comunitario de Salud Familiar Antumalal;Quinta Normal
Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33);Cerro Navia
Centro Comunitario de Salud Familiar Concejal Guillermo Flores O.;Pudahuel
Centro Comunitario de Salud Familiar Padre Felix Gutierrez Donoso;Pudahuel
Centro Comunitario de Salud Familiar Rio Claro;Pudahuel
Centro Comunitario de Salud Familiar Mar Caribe;Pudahuel
Centro Comunitario de Salud Familiar Santa Corina;Pudahuel
Centro Comunitario de Salud Familiar Curacavi;Curacavi
Centro Comunitario de Salud Familiar La Islita;Isla de Maipo
Centro Comunitario de Salud Familiar Padre Demetrio Bravo;Melipilla
Centro Comunitario de Salud Familiar Obispo Pablo Lizama;Melipilla
Centro Comunitario de Salud Familiar Codigua;Melipilla
SAR Renca;Renca
SAPU Santa Rosa de Chena;Padre Hurtado
SAPU Marcela Jacques Vargas;Talagante
Actividades gestionadas por la Direccion del Servicio para apoyo de la Red (S.S Metropolitano Central);Santiago
PRAIS (S.S Metropolitano Central);Santiago
Hospital Clinico San Borja;Santiago
Hospital Clinico Metropolitano El Carmen Doctor Luis Valentin Ferrada;Maipu
Hospital de Urgencia Asistencia Publica Dr. Alejandro del Rio;Santiago
Hospital Clinico Universidad Catolica;Santiago
Hospital Clinico Mutual de Seguridad C.CH.C.;Estacion Central
Hospital Penitenciario;Santiago
Instituto de Rehabilitacion Infantil TELETON (Santiago);Estacion Central
Hospital Clinica IST;Santiago
Clinica Los Coihues;Estacion Central
Clinica Santa Ines;Santiago
Laboratorio Bio Reval Ltda;Santiago
Laboratorio Antonio Concha;Santiago
Hernandez y Gutierrez Ltda;Santiago
Clinica Central;Santiago
Laboratorio Labocenter;Santiago
Clinica Sierra Bella;Santiago
Clinica Las Violetas;Santiago
Laboratorio Santiago Centro;Santiago
Centro de Salud Diagnostiko Ltda;Santiago
Centro de Salud Omega;Santiago
Nueva Clinica Madre e Hijo;Santiago
Laboratorio Perfil Bioquimico;Santiago
Clinica Juan Pablo II;Santiago
Laboratorio Sigma;Santiago
Clinica Psiquiatrica Espana;Santiago
Centro de Salud Vival Ltda.;Santiago
Laboratorio Referencia Oxman y Cia. Ltda.;Santiago
Clinica San Javier;Santiago
Clinica Hospital del Profesor;Estacion Central
Clinica Astra;Maipu
Centro Integramedica;Santiago
Centro Medico Vida Integra Alameda;Santiago
Clinica del Trabajador AChS;Melipilla
Centro de Salud Vida Integra Bandera;Santiago
Centro Vida Integra de Maipu;Maipu
Centro Integramedica Oeste;Cerrillos
Clinica Universidad Catolica;Santiago
Clinica Pedro Montt;Santiago
Centro Integramedica Forestal;Santiago
Centro Asistencial AChS Alameda;Estacion Central
Centro Asistencial AChS Maipu;Maipu
Centro Asistencial AChS Santiago;Santiago
Centro Medico y Dental Megasalud Alameda;Santiago
Centro Medico y Dental Megasalud Maipu;Maipu
Centro Medico y Dental CAPREDENA;Santiago
Centro de Salud Mutual CChC Agustinas;Santiago
Centro de Salud Mutual CChC Maipu;Maipu
Centro Integramedica Estacion Central;Estacion Central
Centro Medico y Dental Fundacion Asistencial Trabajadores Del Banco del Estado de Chile;Santiago
Vacunatorio Marcoleta de la Pontificia Universidad Catolica de Chile;Santiago
Policlinico Institucional de Gendarmeria de Chile (Santiago);Santiago
Establecimiento Penitenciario Santiago 1;Santiago
Clinica Bicentenario;Estacion Central
Consultorio Escuela de formacion policial de Carabineros de Chile;Cerrillos
Clinica Bellolio;Maipu
Centro de Salud Familiar Santiago Occidente de Carabineros de Chile;Estacion Central
Integramedica Bandera;Santiago
Centro de Salud Familiar N° 1 Dr. Ramon Corbalan Melgarejo;Santiago
Centro de Salud Familiar Nº 5;Santiago
Centro de Salud Familiar Padre Vicente Irarrazabal;Estacion Central
Centro de Salud Familiar Lo Valledor Norte;Pedro Aguirre Cerda
Centro de Salud Familiar Maipu;Maipu
Centro de Salud Familiar Dr. Norman Voullieme;Cerrillos
Centro de Salud Familiar San Jose de Chuchunco;Estacion Central
Centro de Salud Familiar Enfermera Sofia Pincheira;Cerrillos
Centro de Salud Familiar Dr. Jose Eduardo Ahues Salame;Maipu
Centro de Salud Familiar Dra. Ana Maria Juricic;Maipu
Centro de Salud Familiar Las Mercedes;Estacion Central
Centro de Referencia de Salud de Maipu;Maipu
Centro de Salud Familiar Padre Orellana;Santiago
Centro de Salud Familiar Arauco;Santiago
Centro de Salud Familiar Dr. Benjamin Viel;Santiago
Centro de Salud Familiar Dr. Ivan Insunza;Maipu
Centro de Salud Familiar Clotario Blest;Maipu
Centro de Salud Familiar Dr. Carlos Godoy;Maipu
Centro de Salud Familiar Ignacio Domeyko;Santiago
Centro de Salud Familiar Presidenta Michelle Bachelet;Maipu
Centro de Salud Familiar Dr. Luis Ferrada;Maipu
Posta de Salud Rural Rinconada de Maipu;Maipu
COSAM Estacion Central;Estacion Central
COSAM Maipu;Maipu
COSAM Cerrillos;Cerrillos
COSAM Santiago;Santiago
Centro Comunitario de Salud Familiar Futramapu;Maipu
Centro Comunitario de Salud Familiar Europa;Maipu
Centro Comunitario de Salud Familiar Villa Francia;Estacion Central
Centro Comunitario de Salud Familiar El Abrazo;Maipu
Centro Comunitario de Salud Familiar Lo Errazuriz;Maipu
Centro Comunitario de Salud Familiar Bueras;Maipu
SAPU Consultorio Nº1;Santiago
SAPU Maipu;Maipu
SAPU Dr. Norman Voullieme;Cerrillos
SAPU San Jose de Chuchunco;Estacion Central
SAPU Dra. Ana Maria Juricic;Maipu
Actividades gestionadas por la Direccion del Servicio para apoyo de la Red (S.S Metropolitano Oriente);Providencia
PRAIS (S.S Metropolitano Oriente);Providencia
Vacunatorio Internacional SEREMI de Salud Metropolitana;Providencia
Hospital Del Salvador (Santiago, Providencia);Providencia
Hospital Dr. Luis Tisne B. (Santiago, Penalolen);Penalolen
Hospital de Ninos Dr. Luis Calvo Mackenna (Santiago, Providencia);Providencia
Instituto Nacional de Enfermedades Respiratorias y Cirugia Toracica;Providencia
Instituto de Neurocirugia Dr. Alfonso Asenjo;Providencia
Instituto Nacional de Rehabilitacion Infantil Presidente Pedro Aguirre Cerda;Penalolen
Instituto Nacional Geriatrico Presidente Eduardo Frei Montalva;Providencia
SAPU Buin;Buin
Actividades gestionadas por la Direccion del Servicio para apoyo de la Red (S.S Metropolitano Sur Oriente);Puente Alto
PRAIS (S.S Metropolitano Sur Oriente);Puente Alto
Hospital de Campana Rusia (Puente Alto);Puente Alto
Complejo Hospitalario Dr. Sotero del Rio (Santiago, Puente Alto);Puente Alto
Hospital San Jose de Maipo;San Jose de Maipo
Hospital Padre Alberto Hurtado (San Ramon);San Ramon
Hospital Metropolitano (Ex Militar, Santiago, Providencia);Providencia
Hospital Clinico Metropolitano La Florida Dra. Eloisa Diaz Inzunza;La Florida
Centro de Referencia de Salud San Rafael;La Florida
Centro Metropolitano de Sangre y Tejidos;Providencia
Clinica Psiquiatrica Raquel Gaete;Puente Alto
Clinica Salud Ltda.;La Florida
Centro de Enfermedades Respiratorias Infantiles Josefina Martinez (D);Puente Alto
Centro de Rehabilitacion Capredena;La Florida
Clinica Santa Elena;La Pintana
Clinica Familia;La Florida
Centro Vida Integra de Puente Alto;Puente Alto
Centro de Salud Mutual CChC La Florida;La Florida
Centro Integramedica Tobalaba;Puente Alto
Centro Integramedica La Florida;La Florida
Clinica Vespucio;La Florida
Centro Vida Integra de La Florida;La Florida
Clinica Astra La Florida;La Florida
Centro Asistencial AChS La Florida;La Florida
Centro Asistencial AChS Puente Alto;Puente Alto
Clinica Astra Puente Alto;Puente Alto
Centro Medico y Dental Megasalud La Florida;La Florida
Centro Medico y Dental Megasalud Puente Alto;Puente Alto
Laboratorio Vida Integra;La Florida
Centro de Salud Mutual CChC Puente Alto;Puente Alto
Laboratorio Medicina Nuclear Sur Ltda;Puente Alto
Integramedica Puente Alto;Puente Alto
Centro de Salud Familiar Dr. Alejandro del Rio;Puente Alto
Centro de Salud Familiar Los Castanos;La Florida
Centro de Salud Familiar Bellavista;La Florida
Centro de Salud Familiar Villa O'Higgins;La Florida
Centro de Salud Familiar Los Quillayes;La Florida
Centro de Salud Familiar La Granja;La Granja
Centro de Salud Familiar La Bandera;San Ramon
Centro de Salud Familiar San Rafael;La Pintana
Centro de Salud Familiar Pablo de Rokha;La Pintana
Centro de Salud Familiar Dr. Jose Manuel Balmaceda;Pirque
Centro de Salud Familiar Santiago de Nueva Extremadura;La Pintana
Centro de Salud Familiar San Geronimo;Puente Alto
Centro de Salud Familiar Vista Hermosa;Puente Alto
Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramon);San Ramon
Centro de Salud Familiar Malaquias Concha;La Granja
Centro de Salud Familiar Dr. Fernando Maffioletti;La Florida
Centro de Salud Familiar Santo Tomas;La Pintana
Centro de Salud Familiar Flor Fernandez;La Pintana
Centro de Salud Familiar El Roble;La Pintana
Centro de Salud Familiar Bernardo Leighton;Puente Alto
Centro de Salud Familiar Cardenal Silva Henriquez;Puente Alto
Centro de Salud Familiar Padre Manuel Villaseca;Puente Alto
Centro de Salud Familiar Madre Teresa de Calcuta (Organizaciones sin fines de lucro y ONG);Puente Alto
Centro de Salud Familiar Santa Amalia;La Florida
Centro de Salud Familiar Granja Sur;La Granja
Centro de Salud Familiar Karol Wojtyla;Puente Alto
Centro de Salud Familiar Juan Pablo II;La Pintana
Centro de Salud Familiar Poetisa Gabriela Mistral;San Ramon
Centro de Salud Familiar San Alberto Hurtado;Puente Alto
Centro de Salud Familiar Trinidad;La Florida
Centro de Salud Familiar La Florida;La Florida
Centro de Salud Familiar Laurita Vicuna;Puente Alto
Centro de Salud Rural El Principal;Pirque
Centro de Salud Familiar Jose Alvo;La Florida
Posta de Salud Rural Puntilla;Pirque
Posta de Salud Rural Santa Rita;Pirque
Posta de Salud Rural Lo Arcaya;Pirque
Posta de Salud Rural San Vicente;Pirque
Posta de Salud Rural Las Vertientes;San Jose de Maipo
Posta de Salud Rural El Volcan;San Jose de Maipo
Posta de Salud Rural Las Perdices;La Florida
Posta de Salud Rural San Gabriel;San Jose de Maipo
COSAM La Bandera;San Ramon
COSAM La Rinconada;San Ramon
COSAM La Granja;La Granja
COSAM La Pintana;La Pintana
COSAM La Florida;La Florida
COSAM Puente Alto;Puente Alto
COSAM Pirque;Pirque
COSAM CEIF Centro;Puente Alto
Centro Comunitario de Salud Familiar Millalemu;La Granja
Centro Comunitario de Salud Familiar Modelo;San Ramon
Centro Comunitario de Salud Familiar San Gregorio;La Granja
SAPU Dr. Alejandro del Rio;Puente Alto
SAPU Los Castanos;La Florida
SAPU Villa O'Higgins;La Florida
SAPU Los Quillayes;La Florida
SAPU La Granja;La Granja
SAPU La Bandera;San Ramon
SAPU San Rafael;La Pintana
SAPU Pablo de Rokha;La Pintana
SAPU Santiago de Nueva Extremadura;La Pintana
SAPU San Geronimo;Puente Alto
SAPU San Ramon;San Ramon
SAPU Dr. Fernando Maffioletti;La Florida
SAPU Santo Tomas;La Pintana
SAPU El Roble;La Pintana
SAPU Bernardo Leighton;Puente Alto
SAPU Cardenal Silva Henriquez de Puente Alto;Puente Alto
SAR Padre Manuel Villaseca;Puente Alto
SAPU Santa Amalia;La Florida
SAPU Granja Sur;La Granja
SAPU Karol Wojtyla;Puente Alto
SAPU Poetisa Gabriela Mistral;San Ramon
SAPU La Florida;La Florida
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S Metropolitano Norte);Independencia
PRAIS (S.S Metropolitano Norte);Independencia
Clinica Dental Movil Simple. Pat. PW4082 (TilTil);Tiltil
Complejo Hospitalario San Jose (Santiago, Independencia);Independencia
Hospital Clinico de Ninos Dr. Roberto del Rio (Santiago, Independencia);Independencia
Instituto Psiquiatrico Dr. Jose Horwitz Barak (Santiago, Recoleta);Recoleta
Instituto Nacional del Cancer Dr. Caupolican Pardo Correa (Santiago, Recoleta);Independencia
Hospital de Til Til;Tiltil
Hospital Clinico Universidad de Chile;Independencia
Clinica Davila;Recoleta
Centro Integramedica Norte;Huechuraba
Centro de Salud Mutual CChC Quilicura;Quilicura
Centro Vida Integra Quilicura;Quilicura
Centro Asistencial AChS Colina;Colina
Policlinico del Trabajador AChS Parque Las Americas;Conchali
Centro Asistencial AChS Quilicura;Quilicura
Centro Asistencial AChS Vespucio Oeste;Quilicura
Clinica Astra Independencia;Independencia
Centro Medico y Dental Megasalud Conchali;Conchali
Centro Medico Vivaceta;Independencia
Instituto de Seguridad del Trabajo (IST);Quilicura
Centro de Salud Familiar Agustin Cruz Melo;Independencia
Centro de Salud Familiar Recoleta;Recoleta
Centro de Salud Familiar Lucas Sierra;Conchali
Centro de Salud Familiar Quinta Bella;Recoleta
Centro de Salud Familiar Valdivieso;Recoleta
Centro de Salud Familiar La Pincoya;Huechuraba
Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Recoleta
Centro de Salud Familiar Alberto Bachelet Martinez;Conchali
Centro de Salud Familiar Jose Symon Ojeda;Conchali
Centro de Salud Familiar Colina;Colina
Centro de Salud Familiar Jose Bauza Frau;Lampa
Centro de Salud Familiar Batuco;Lampa
Centro de Salud Familiar Irene Frei de Cid;Quilicura
Centro de Salud Familiar Juanita Aguirre;Conchali
Centro de Salud Familiar Manuel Bustos Huerta;Quilicura
Centro de Salud Familiar Esmeralda;Colina
Centro de Salud Familiar El Barrero;Huechuraba
Centro de Salud Familiar Huertos Familiares;Tiltil
Centro de Salud Familiar Juan Antonio Rios;Independencia
Centro de Salud Familiar Dr. Salvador Allende Gossens;Huechuraba
Centro de Salud Familiar Presidente Salvador Allende Gossens;Quilicura
Centro de Salud Familiar Cristo Vive (ONG);Recoleta
Posta de Salud Rural Juan Pablo II de Lampa;Lampa
Posta de Salud Rural La Capilla de Caleu;Tiltil
Posta de Salud Rural Montenegro;Tiltil
Posta de Salud Rural Rungue;Tiltil
Posta de Salud Rural Polpaico;Tiltil
Posta de Salud Rural Colorado;Colina
Posta de Salud Rural Los Ingleses;Colina
Posta de Salud Rural Las Canteras;Colina
Posta de Salud Rural Santa Marta de Liray;Colina
Posta de Salud Rural Chacabuco (Colina);Colina
COSAM Independencia;Independencia
COSAM Conchali;Conchali
COSAM Huechuraba;Huechuraba
COSAM Recoleta;Recoleta
COSAM Quilicura;Quilicura
COSAM Colina;Colina
COSAM Lampa;Lampa
COSAM Til;Tiltil
Centro Comunitario de Salud Familiar Dr. Jose Symon Ojeda;Conchali
Centro Comunitario de Salud Familiar Sol de Septiembre;Lampa
Centro Comunitario de Salud Familiar Batuco;Lampa
Centro Comunitario de Salud Familiar La Foresta;Quilicura
Centro Comunitario de Salud Familiar Pucara de Lasana;Quilicura
Centro Comunitario de Salud Familiar Esmeralda;Colina
Centro Comunitario de Salud Familiar Los Libertadores;Huechuraba
SAR Recoleta;Recoleta
SAPU Lucas Sierra;Conchali
SAPU Valdivieso;Recoleta
SAR La Pincoya;Huechuraba
SAPU Alberto Bachelet Martinez;Conchali
SAR Conchali;Conchali
SAPU Colina;Colina
SAPU Jose Bauza Frau;Lampa
SAPU Nº 2 Irene Frei de Cid;Quilicura
SAPU Nº 1 Rodrigo Rojas Denegri;Quilicura
SAPU Juan Antonio Rios;Independencia
SAPU Presidente Salvador Allende Gossens;Quilicura
SAPU Cristo Vive;Recoleta
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S Metropolitano Occidente);Santiago
PRAIS (S.S Metropolitano Occidente);Santiago
Clinica Dental Movil Simple. Pat. PW4083 (Curacavi);Curacavi
Hospital San Juan de Dios (Santiago, Santiago);Santiago
Instituto Traumatologico Dr. Teodoro Gebauer;Santiago
Hospital Dr. Felix Bulnes Cerda (Santiago, Quinta Normal);Quinta Normal
Hospital Adalberto Steeger (Talagante);Talagante
Hospital de Penaflor;Penaflor
Hospital San Jose (Melipilla);Melipilla
Hospital de Curacavi;Curacavi
Clinica Psiquiatrica Santa Cecilia;Santiago
Centro de Salud Mutual CChC Talagante;Talagante
Clinica del Trabajador AChS;Melipilla
Clinica Los Maitenes;Melipilla
Centro de Salud Mutual CChC Melipilla;Melipilla
Clinica Fundacion Gantz;Pudahuel
Centro de Salud Mutual CChC Pudahuel;Pudahuel
Fundacion Vida Nueva (Clinica Psiquiatrica);Penaflor
Centro Asistencial AChS Penaflor;Penaflor
Centro Asistencial AChS Talagante;Talagante
Servicio Medico Dental (S) Armada de Chile;Quinta Normal
Centro de Oncologia Preventiva de la Universidad de Chile;Quinta Normal
Centro de Referencia de Salud Salvador Allende;Pudahuel
Centro de Salud Familiar Penaflor;Penaflor
Centro de Salud Familiar Andes;Quinta Normal
Centro de Salud Familiar Santa Anita;Lo Prado
Centro de Salud Familiar Pablo Neruda;Lo Prado
Centro de Salud Familiar Lo Franco;Quinta Normal
Centro de Salud Familiar Garin;Quinta Normal
Centro de Salud Familiar Dr. Adalberto Steeger;Cerro Navia
Centro de Salud Familiar Lo Amor;Cerro Navia
Centro de Salud Familiar Cerro Navia;Cerro Navia
Centro de Salud Familiar Dr. Raul Yazigi;Lo Prado
Centro de Salud Familiar Dr. Carlos Avendano;Lo Prado
Centro de Salud Familiar Pudahuel Estrella;Pudahuel
Centro de Salud Familiar Pudahuel Poniente;Pudahuel
Centro de Salud Familiar Dr. Gustavo Molina;Pudahuel
Centro de Salud Familiar Cardenal Raul Silva Henriquez;Pudahuel
Centro de Salud Familiar Violeta Parra;Pudahuel
Centro de Salud Familiar Dr. Arturo Albertz;Cerro Navia
Centro de Salud Familiar Renca;Renca
Centro de Salud Familiar Bicentenario;Renca
Centro de Salud Familiar Dr. Hernan Urzua Merino;Renca
Vacunatorio Darvax;La Reina
Centro Medico y dental Vida Integra Nunoa;Nunoa
SAPU Santa Laura;El Bosque
SAPU San Joaquin;San Joaquin
Diagnostika;Providencia
Laboratorio SANALAB S. A.;Santiago
SAPU Libertadores;Huechuraba
Centro Comunitario de Salud Familiar Elena Caffarena;Providencia
Servicios de Salud Integrados S.A. (Chicureo);Colina
Centro Especialidades Primarias San Lazaro;Puente Alto
Centro Comunitario de Salud Familiar San Vicente de Naltagua;Isla de Maipo
Centro Comunitario de Salud Familiar Amapolas;Nunoa
Centro Comunitario de Salud Familiar Dr. Raul Branes;San Bernardo
SAPU Padre Vicente Irarrazabal;Estacion Central
SAPU Luis Chavarria;Cerro Navia
SAPU Dr. Alberto Allende Jones;Talagante
SAPU Dr. Arturo Albertz;Cerro Navia
SAPU Dr. Avendano;Lo Prado
SAPU Dr. Fernando Monckeberg;Penaflor
SAPU Dr. Francisco Boris Soler;Melipilla
SAPU Dr. Gustavo Molina;Pudahuel
SAR Dr. Raul Yazigi;Lo Prado
SAPU Garin;Quinta Normal
SAPU Isla de Maipo;Isla de Maipo
SAPU Lo Franco;Quinta Normal
SAPU Pablo Neruda;Lo Prado
SAPU Penaflor;Penaflor
SAPU Violeta Parra;Pudahuel
SAPU Maria Pinto;Maria Pinto
SAPU Bicentenario;Renca
SAPU Dr. Adalberto Steeger;Cerro Navia
SAPU Dr. Edelberto Elgueta;Melipilla
SAPU El Monte;El Monte
SAPU Huamachuco;Renca
SAR La Estrella;Pudahuel
SAPU Pudahuel Poniente;Pudahuel
SAPU Santa Anita;Lo Prado
SAPU Dr. Ivan Insunza;Maipu
SAPU La Reina;La Reina
SAPU Aguilucho;Providencia
SAPU Jose Alvo;La Florida
Hospital Clinico Universidad de Los Andes;Las Condes
SAPU Trinidad;La Florida
Centro Odontologico La Reina;La Reina
Clinica Orema;Vitacura
Vacunatorio Home Nursing;Puente Alto
Integramedica Florida Vespucio;La Florida
Integramedica Santa Lucia;San Bernardo
Clinica Policenter;Puente Alto
Mirandes S.P.A.;Providencia
Clinica Dermacross;Vitacura
Clinica Ensenada;Independencia
Clinica Alemana de La Dehesa;Lo Barnechea
Integramedica Mall Plaza Sur;San Bernardo
Centro Medico y Dental Santa Catalina;Buin
Centro Medico HTS SpA;Providencia
COSAM San Jose de Maipo;San Jose de Maipo
Centro de Especialidades Odontologicas Leng;Providencia
SAR Enfermera Sofia Pincheira;Cerrillos
Clinica WLK;Providencia
Centro Medico y Dental Megasalud Quilicura;Quilicura
Centro Comunitario de Salud Familiar Conimo;San Joaquin
Centro de Salud Familiar San Vicente de Tagua Tagua;San Vicente
SAPU Centro;San Fernando
SAPU Ignacio Caroca;Rancagua
SAPU Rosario;Rengo
Centro Medico Imagensalud;San Fernando
Centro Comunitario de Salud Familiar Tuncahue;Codegua
Centro Medico y Dental La Araucana Rancagua;Rancagua
Centro de Dialisis Interdial Limitada;Rancagua
Centro de Dialisis A y R;Santa Cruz
COSAM Centro 2 de Rancagua;Rancagua
COSAM Norte Graneros;Graneros
COSAM Sur Donihue;Donihue
Centro de Dialisis Integral;Rancagua
Centro de Dialisis Rengo;Rengo
Centro de Dialisis San Fernando;San Fernando
Centro de Dialisis San Jose Chimbarongo;Chimbarongo
